,I can easily log-in and log-out my Canvas account.,I can easily log-in and log-out my Canvas account. (Please write your views relating your answer above.),I can access my course using the mobile Canvas app. ,I can access my course using the mobile Canvas app. (Please write your views about this relating to your answer above.),I can access my course using the mobile Canvas app. .1,I can access my course using the mobile Canvas app. (Please write your views about this relating to your answer above.).1,I can access my Canvas account using the available computers in JRU.,I can access my Canvas account using the available computers in JRU. (Please write your views about this relating to your answer above.),I have no issues accessing my Canvas account using the wired internet connection in the computer laboratories. ,I have no issues accessing my Canvas account using the wired internet connection in the computer laboratories. (Please write your views about this relating to your answer above.),I can easily get help when I have problems with my Canvas account.,I can easily get help when I have problems with my Canvas account. (Please write your views about this relating to your answer above.),I can access my Canvas account outside JRU. ,I can access my Canvas account outside JRU. (Please write your views about this relating to your answer above.),I can clearly understand the lessons on my Canvas modules. ,I can clearly understand the lessons on my Canvas modules. (Please write your views about this relating to your answer above.),I recognize that the modules in my course are well organized.,I recognize that the modules in my course are well organized. (Please write your views about this relating to your answer above.),I can easily manage the navigation of the courses through the desktop version. ,I can easily manage the navigation of the courses through the desktop version. .1,I can easily manage the navigation of the courses through the mobile app.,I can easily manage the navigation of the courses through the mobile app. (Please write your views about this relating to your answer above.),I notice that course materials on Canvas have connection with the face to face (classroom) lesson content.,I notice that course materials on Canvas have connection with the face to face (classroom) lesson content. (Please write your views about this relating to your answer above.),I understand the lessons better with the help of course materials in Canvas. ,I understand the lessons better with the help of course materials in Canvas. (Please write your views about this relating to your answer above.),Canvas course materials make me interested.,Canvas course materials make me interested. (Please write your views about this relating to your answer above.),The course materials on Canvas helped me prepare for: [Face to Face discussions],The course materials on Canvas helped me prepare for: [Quizzes],The course materials on Canvas helped me prepare for: [Prelim/Mid-term/Final Exam],"The course materials on Canvas helped me prepare for: [Other Tasks (Assignments, Forums, etc.)]","The course materials on Canvas helped me prepare for: Face to face discussions, quizzes, major exams, assignments, forums, etc. (Please write your views about this relating to your answer above.)",My instructor knows how to use Canvas.,My instructor knows how to use Canvas. (Please write your views about this relating to your answer above.),My instructor demonstrated mastery of the subject matter.,My instructor demonstrated mastery of the subject matter. (Please write your views about this relating to your answer above.),My instructor encourages me to use Canvas.,My instructor encourages me to use Canvas. (Please write your views about this relating to your answer above.),Canvas has made it easy for me to: [Communicate with my instructor],Canvas has made it easy for me to: [Receive class announcements],Canvas has made it easy for me to: [Share ideas on group discussions],"Canvas has made it easy for me to: communicate with my instructor, receive class announcements, share ideas on group discussions","I can answer the assessment materials (quiz, exam) posted in Canvas.","I can answer the assessment materials (quiz, exam) posted in Canvas. (Please write your views about this relating to your answer above.)",I find the course materials on Canvas aligned with the: [Quizzes],"I find the course materials on Canvas aligned with the: [Major (Prelim, Mideterm, Final) Exam]","I find the course materials on Canvas aligned with the: [Other tasks (Assignements, Forums, etc.)]","I find the course materials on Canvas aligned with the: quizzes, major exams, assignments, forums, etc.) (Please write your views about this relating to your answer above.)",I have been give enough time to accomplish the activities on Canvas.,I have been give enough time to accomplish the activities on Canvas. (Please write your views about this relating to your answer above.)
85,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
86,Agree,sometimes but there's a time that we need to access our security like verification code. What if our phone is not carrying,Agree,yes,Agree,yes,Agree,yes,Agree,yes,Agree,yes i can easily contact.,Agree,sometimes but they have a verification code,Agree,yes but sometimes the module is not public or publish,Agree,yes i recognized it,Agree,yes i can easily manage,Agree,yes,Agree,yes it really help us,Agree,yes it help us,Agree,yes,Agree,Strongly Agree,Strongly Agree,Strongly Agree,"yes we didnt need to submit our papers in personal like we find or we go to faculty, just submit it in canvas",Agree,yes,Agree,yes,Agree,yes,Strongly Agree,Strongly Agree,Strongly Agree,yes we received,Agree,yes,Agree,Strongly Agree,Agree,yes,Agree,yes
87,Strongly Agree,because i can access easily,Strongly Agree,yes,Strongly Agree,Yes,Strongly Agree,Yes,Strongly Agree,yes,Strongly Agree,yes when i need help about my canvas account,Strongly Agree,Yes I can access my canvas account anywhere,Strongly Agree,Yes because it is all well Organized,Strongly Agree,Yes it is well organized,Strongly Agree,Yes it can easily manage,Strongly Agree,it is easily manage like the desktop version,Strongly Agree,Yes the course material in canvas was teached in our face to face,Strongly Agree,Yes i understand it better ,Strongly Agree,Yes because i can advance study,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes because i can study in home,Strongly Agree,Yes she knows how to use canvas,Strongly Agree,She can demonstrated mastery of the subject matter ,Strongly Agree,Yes she always use encourages mo to use Canvas to pass may laboratory activities or quizzes,Strongly Agree,Strongly Agree,Strongly Agree,Yes it is easily to communicate with my instructor or with my classmates,Strongly Agree,Yes i can easily answer the assessment materials posted in canvas,Strongly Agree,Strongly Agree,Strongly Agree,Yes it is well organized in the dashboard,Strongly Agree,Yes it gives me enough time
88,Strongly Agree,I dont have problems logging in,Strongly Agree,I dont have problems  accessing my course,Strongly Agree,I dont have problems  accessing my course,Strongly Agree,I dont have problems  accessing my canvas account using computer,Strongly Agree,I dont have problems  accessing my canvas account using connection in the computer laboratories,Strongly Agree,I dont have problems  getting help,Strongly Agree,I dont have problems  accessing my canvas account outside jru,Strongly Agree,I dont have problems  understanding lessons on canvas,Strongly Agree,I dont have problems  recognizing my modules,Strongly Agree,I dont have problems managing the desktop version,Strongly Agree,I dont have problems managing the mobile version,Strongly Agree,yes i notice it too,Strongly Agree,I dont have problems understanding the lesson,Strongly Agree,yes of course it makes me interested,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,I dont have problems  preparing ,Strongly Agree,I dont have problems with my instructor canvas mastery,Strongly Agree,I dont have problems with my instructor canvas mastery,Strongly Agree,I dont have problems with my instructor canvas mastery,Strongly Agree,Strongly Agree,Strongly Agree,I dont have problems with my canvas mastery,Strongly Agree,I dont have problems with my canvas mastery,Strongly Agree,Strongly Agree,Strongly Agree,I dont have problems with my canvas mastery,Strongly Agree,I dont have problems with time to accomplish
89,Strongly Agree,No because the Internet Connection is Slow,Strongly Agree,Yes ,Strongly Agree,Yes,Strongly Agree,No,Strongly Agree,NO,Strongly Agree,Yes,Strongly Agree,yes,Strongly Agree,Yes,Strongly Agree,No,Strongly Agree,No,Strongly Agree,No,Strongly Agree,No,Strongly Agree,No,Strongly Agree,No,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,yes,Strongly Agree,yes because they remind us we have activity,Strongly Agree,No,Strongly Agree,Yes because it will helps to pass my subject,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Strongly Agree,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Strongly Agree,Yes
90,Agree,"Yes, I can log in and log out easily.",Agree,"Yes, I can access easily.",Strongly Agree,"Yes, I can strongly agree that I can access it.",Strongly Agree,Yes I can access without having an error.,Strongly Agree,I don't have an issue about accessing my canvas account.,Strongly Agree,I can talk to the IT Office to get help.,Agree,"Yes, When I have a internet I can access it.",Agree,"Yes, I'm clearly understand the lesson.",Strongly Agree,Yes the modules are well organized.,Strongly Agree,"Yes, I can easily manage my courses.",Disagree,Need to improve the user interface.,Agree,Yes I can have a connection in the classroom.,Agree,yes,Strongly Agree,yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Strongly Agree,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Yes it is aligned.,Strongly Agree,Yes it given time.
91,Strongly Agree,yes i can access on my canvas easily,Strongly Agree,yes i have no problems in canvas mobile app,Strongly Agree,"yes at home in can also access my canvas
",Strongly Agree,jru has alot of computers ,Disagree,sometimes the internet is so slow,Strongly Agree,yes ,Strongly Agree,yes you can access jru canvas on jru app outside,Strongly Agree,yes i understand all the lessons,Agree,none,Strongly Agree,its easily to manage ,Agree,sometimes,Strongly Agree,its same ,Agree,sometimes,Strongly Agree,yeh ,Strongly Agree,Agree,Strongly Agree,Strongly Agree,yeh because the lessons is in the canvas,Strongly Agree,she knows ,Agree,she demonstrated clearly,Strongly Agree,because the lessons is in canvas,Strongly Agree,Strongly Agree,Strongly Agree,yeah,Strongly Agree,easily,Agree,Strongly Agree,Strongly Agree,yeh,Strongly Agree,yeah
92,Strongly Agree,i can easily login and logout my account,Strongly Agree,i can easily access my course using canvas,Strongly Agree,i can easily access my course using canvas,Strongly Agree,i can easily access my course using canvas,Strongly Agree,i have no problem with the internet connection in the laboratory,Strongly Agree,yes of course,Strongly Agree,i can access my canvas app outside jru,Strongly Agree,i can understand the lesson in canvas,Strongly Agree,yes the modules in my course are well organized,Strongly Agree,yes i can easily manage it,Strongly Agree,yes i can manage the courses through app,Strongly Agree,i have no problem with the internet connection in the laboratory,Strongly Agree,yes i understand the lesson in canvas,Strongly Agree,yes of course,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,it helps in my quizzes and major exams,Strongly Agree,they taught us in canvas very well,Strongly Agree,yes of course,Strongly Agree,they inspire me to use it,Strongly Agree,Strongly Agree,Strongly Agree,i have no problem with the internet connection in the laboratory,Strongly Agree,i have no problem with the internet connection in the laboratory,Strongly Agree,Strongly Agree,Strongly Agree,i have no problem with the internet connection in the laboratory,Strongly Agree,i have no problem with the internet connection in the laboratory
93,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,syempre,Strongly Agree,oo naman,Strongly Agree,yes ,Strongly Agree,yes at my home,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes ,Strongly Agree,no because my canvas app is not notify me on my phone,Strongly Agree,yes,Strongly Agree,"yes, because we can do it at my home",Strongly Agree,yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,minsan hindi,Strongly Agree,minsan lang,Strongly Disagree,Strongly Disagree,Strongly Disagree,yes,Strongly Agree,yes,Strongly Agree,Strongly Agree,Strongly Agree,yes,Strongly Agree,yes
94,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes i understand because i also search it on google,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,yes,Strongly Agree,yes she was show up it to us,Strongly Agree,She always do that in the class,Strongly Agree,Yes when we have quizzes,Strongly Agree,Strongly Agree,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,Strongly Agree,Strongly Agree,yes,Strongly Agree,yes
95,Strongly Agree,I can easily login and log out my account anywhere.,Strongly Agree,This made my canvas experience more easier and less hassle.,Strongly Agree,"Yes, I can easily access it using mobile.",Strongly Agree,"Yes, I can use my account smoothly on other computers.",Agree,My canvas account have no problems but sometimes the loading of it is slow.,Strongly Agree,"My canvas is helpful when it comes to my studies,",Strongly Agree,I can easily log in and out my account anywhere.,Strongly Agree,This is helpful when it comes to my lessons and classes.,Strongly Agree,This is well organized and user friendly.,Strongly Agree,This version is much easir and less hassle.,Strongly Agree,I can use it anytime I want.,Strongly Agree,This will help me to have connections to my professors and classmates.,Strongly Agree,This serves as my online reviewer.,Strongly Agree,Canvas is helpful when it comes to our studies and lessons.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,This is helpful inside our class but sometimes the lessons inside the canvas is different when it comes to exams or quiz.,Strongly Agree,She know what she is doing and well prepared.,Strongly Agree,She mastered the subject and do well when teaching us the lessons.,Strongly Agree,We always use canvas for backup and suuport.,Strongly Agree,Agree,Disagree,This is helpful because I can easily communicate my professors and classmates.,Strongly Agree,I can easily see my quizzes and I it is well organized.,Strongly Agree,Strongly Agree,Strongly Agree,Yes this help me when it comes to my exams and course.,Strongly Agree,"It provides time so I can answer and do all my activities, quizzes or exams."
96,Strongly Agree,"Yes, I can easily log-in and log-out",Strongly Agree,I can access it smoothly,Strongly Agree,I can access it smoothly,Strongly Agree,none,Strongly Agree,I have no issues regarding using the wired internet connection,Strongly Agree,"Yes, floor away",Strongly Agree,"With strong signal, I can access it anywhere",Strongly Agree,I always read the modules,Strongly Agree,I easily understand the modules,Strongly Agree,I can pick card-view thats easy for me to navigate,Strongly Agree,"Yes, I can",Strongly Agree,"Yes, my prof is very good at teaching",Strongly Agree,"Yes, I read modules ",Strongly Agree,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Yes, of course",Strongly Agree,"Yes, I strongly agree",Strongly Agree,My instructor is very well versed in the subject matter,Strongly Agree,ALways canvas,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Strongly Agree,Yes easily answer,Strongly Agree,Strongly Agree,Strongly Agree,Yes very organized,Strongly Agree,I can
